card_name,face_name,scryfall_id,set,collector_number,image_url
Swamp,,000366c8-7a43-49d7-a103-ac5bd7efd9aa,tmp,340,https://cards.scryfall.io/normal/front/0/0/000366c8-7a43-49d7-a103-ac5bd7efd9aa.jpg?1783946591
Battlewing Mystic,,000376ef-8b6c-490d-98cb-d6de15b2e585,dmu,43,https://cards.scryfall.io/normal/front/0/0/000376ef-8b6c-490d-98cb-d6de15b2e585.jpg?1783921354
Birds of Paradise,,0003aa31-d42e-4972-9fb9-086aefe29a2c,sld,176,https://cards.scryfall.io/normal/front/0/0/0003aa31-d42e-4972-9fb9-086aefe29a2c.jpg?1783926562
Bronze Horse,,0003b07e-0d6e-4844-93c7-3f1f6a7d8c4d,me4,186,https://cards.scryfall.io/normal/front/0/0/0003b07e-0d6e-4844-93c7-3f1f6a7d8c4d.jpg?1783941418
Wall of Vipers,,00042443-4d4e-4087-b4e5-5e781e7cc5fa,pcy,80,https://cards.scryfall.io/normal/front/0/0/00042443-4d4e-4087-b4e5-5e781e7cc5fa.jpg?1783945781
Admiral Beckett Brass,,0004311b-646a-4df8-a4b4-9171642e9ef4,plst,XLN-217,https://cards.scryfall.io/normal/front/0/0/0004311b-646a-4df8-a4b4-9171642e9ef4.jpg?1783923460
Ragged Playmate,,000499a4-3f39-4d25-a2a2-b2f014e30754,dsk,150,https://cards.scryfall.io/normal/front/0/0/000499a4-3f39-4d25-a2a2-b2f014e30754.jpg?1783909464
Mulch,,0005968a-8708-441b-b9a1-9373aeb8114d,c15,191,https://cards.scryfall.io/normal/front/0/0/0005968a-8708-441b-b9a1-9373aeb8114d.jpg?1783938067
Whiptongue Hydra,,0005c844-787c-4f0c-8d25-85cec151642b,c18,36,https://cards.scryfall.io/normal/front/0/0/0005c844-787c-4f0c-8d25-85cec151642b.jpg?1783934331
Wall of Roots,,000619be-f2b4-407d-a76c-7245d8cab7bd,f08,7,https://cards.scryfall.io/normal/front/0/0/000619be-f2b4-407d-a76c-7245d8cab7bd.jpg?1783942816
Pugnacious Hammerskull,,00065e7d-d73e-4093-aa1a-f0fe695a0ab5,plci,208p,https://cards.scryfall.io/normal/front/0/0/00065e7d-d73e-4093-aa1a-f0fe695a0ab5.jpg?1783913524
War Historian,,0007efdf-417d-48a7-b119-3a2fda3e1158,mom,214,https://cards.scryfall.io/normal/front/0/0/0007efdf-417d-48a7-b119-3a2fda3e1158.jpg?1783916958
Searing Blaze,,0008098c-2985-493f-bc37-0a8fb96cad65,plst,WWK-90,https://cards.scryfall.io/normal/front/0/0/0008098c-2985-493f-bc37-0a8fb96cad65.jpg?1783910249
Siren's Call,,000809e6-2dd5-41cc-a316-3edb4e40eb58,ced,78,https://cards.scryfall.io/normal/front/0/0/000809e6-2dd5-41cc-a316-3edb4e40eb58.jpg?1783948506
Mystical Tutor,,000a5154-90ba-459e-b122-d6893dfdb56f,dmr,421,https://cards.scryfall.io/normal/front/0/0/000a5154-90ba-459e-b122-d6893dfdb56f.jpg?1783918333
Essence Warden,,000a7263-37e6-4246-82f9-94459517a5cc,prm,95481,https://cards.scryfall.io/normal/front/0/0/000a7263-37e6-4246-82f9-94459517a5cc.jpg?1783923559
Blood Operative,,000ac9e5-3c95-4e87-9424-109e2eea6b45,grn,63,https://cards.scryfall.io/normal/front/0/0/000ac9e5-3c95-4e87-9424-109e2eea6b45.jpg?1783934178
Selvala's Enforcer,,000ba9c3-cd88-47c1-966a-00466569a9bf,cns,40,https://cards.scryfall.io/normal/front/0/0/000ba9c3-cd88-47c1-966a-00466569a9bf.jpg?1783939372
Coalstoke Gearhulk,,000bd10e-0237-4e58-b260-313452c6c6f4,pdft,198s,https://cards.scryfall.io/normal/front/0/0/000bd10e-0237-4e58-b260-313452c6c6f4.jpg?1783907616
Fresh Meat,,000ce65b-5347-4a88-81af-be9053e4d3f3,nph,109,https://cards.scryfall.io/normal/front/0/0/000ce65b-5347-4a88-81af-be9053e4d3f3.jpg?1783941302
Orzhov Guildgate,,000d609c-deb7-4bd7-9c1d-e20fb3ed4f5f,gtc,244,https://cards.scryfall.io/normal/front/0/0/000d609c-deb7-4bd7-9c1d-e20fb3ed4f5f.jpg?1783940088
Mortify,,000d913b-adc4-4075-83d9-4a510280c91e,ltc,269,https://cards.scryfall.io/normal/front/0/0/000d913b-adc4-4075-83d9-4a510280c91e.jpg?1783915904
Bird,,000d9280-a79a-4f9f-822c-7aaecbff3337,totj,7,https://cards.scryfall.io/normal/front/0/0/000d9280-a79a-4f9f-822c-7aaecbff3337.jpg?1783911527
"Narset, Parter of Veils",,000db964-719d-4532-9225-35658565b35d,sld,1141,https://cards.scryfall.io/normal/front/0/0/000db964-719d-4532-9225-35658565b35d.jpg?1783920204
Paradise Druid,,000e2f80-7667-4a8b-91c2-359121d44ebb,woc,129,https://cards.scryfall.io/normal/front/0/0/000e2f80-7667-4a8b-91c2-359121d44ebb.jpg?1783914949
Run Away Together,,000e88ab-f673-4822-bccb-a744f61060ef,woc,108,https://cards.scryfall.io/normal/front/0/0/000e88ab-f673-4822-bccb-a744f61060ef.jpg?1783914956
Sinew Sliver,,000edc61-b3ae-49e3-87f4-0250fa6a4501,tsr,44,https://cards.scryfall.io/normal/front/0/0/000edc61-b3ae-49e3-87f4-0250fa6a4501.jpg?1783927868
Charge,,000eded9-854c-408a-aadf-c26209e27432,dom,10,https://cards.scryfall.io/normal/front/0/0/000eded9-854c-408a-aadf-c26209e27432.jpg?1783935049
Island,,000f1f50-08e5-4d83-8159-98f06a0e2279,eld,255,https://cards.scryfall.io/normal/front/0/0/000f1f50-08e5-4d83-8159-98f06a0e2279.jpg?1783932574
Novice Knight,,00101358-0e89-4bd1-b1f2-e889645b616e,m19,30,https://cards.scryfall.io/normal/front/0/0/00101358-0e89-4bd1-b1f2-e889645b616e.jpg?1783934599
Fallen Askari,,00107210-313f-49c1-84ff-92628f75b764,vis,59,https://cards.scryfall.io/normal/front/0/0/00107210-313f-49c1-84ff-92628f75b764.jpg?1783946994
Altar's Reap,,00108a1c-e620-4124-9b31-3bb3ff2a0407,plst,DDR-37,https://cards.scryfall.io/normal/front/0/0/00108a1c-e620-4124-9b31-3bb3ff2a0407.jpg?1783932345
"Lavinia, Azorius Renegade",,0010b841-c857-4335-aac3-d3b4bab00c7b,rvr,370,https://cards.scryfall.io/normal/front/0/0/0010b841-c857-4335-aac3-d3b4bab00c7b.jpg?1783913206
"Odric, Master Tactician",,00111afb-26fe-487b-8d12-087cd8a8fe86,c20,96,https://cards.scryfall.io/normal/front/0/0/00111afb-26fe-487b-8d12-087cd8a8fe86.jpg?1783931195
Afflict,,0012621b-c0e1-48d6-99b9-ecca4763d748,ody,115,https://cards.scryfall.io/normal/front/0/0/0012621b-c0e1-48d6-99b9-ecca4763d748.jpg?1783945251
Crown of Gondor,,00127acd-a284-4bc8-bdfa-895914e3cd49,ltc,75,https://cards.scryfall.io/normal/front/0/0/00127acd-a284-4bc8-bdfa-895914e3cd49.jpg?1783916012
Invisible Stalker,,0013620d-8e17-4246-86bf-71eafd51b806,isd,60,https://cards.scryfall.io/normal/front/0/0/0013620d-8e17-4246-86bf-71eafd51b806.jpg?1783940973
"Dakkon, Shadow Slayer",,0013a9c4-77a1-418d-85c2-bd68b65cd3d4,mh2,192,https://cards.scryfall.io/normal/front/0/0/0013a9c4-77a1-418d-85c2-bd68b65cd3d4.jpg?1783926818
Shahrazad,,0014def3-4063-4929-ac51-76aef1bb2a68,arn,10,https://cards.scryfall.io/normal/front/0/0/0014def3-4063-4929-ac51-76aef1bb2a68.jpg?1783948393
Destructive Tampering,,00154b70-57d2-4c32-860f-1c36fc49b10c,aer,78,https://cards.scryfall.io/normal/front/0/0/00154b70-57d2-4c32-860f-1c36fc49b10c.jpg?1783936756
The Lonely Mountain,,0015ae49-bc21-4cf3-bb46-3df52760e183,hob,207,https://cards.scryfall.io/normal/front/0/0/0015ae49-bc21-4cf3-bb46-3df52760e183.jpg?1784377071
Mox Jet,,0015d273-5f49-4154-9bd1-d3aef62d1c73,30a,556,https://cards.scryfall.io/normal/front/0/0/0015d273-5f49-4154-9bd1-d3aef62d1c73.jpg?1783919251
Harmonize,,0015ef55-4b85-4147-9974-b3ff4a1487c3,c20,173,https://cards.scryfall.io/normal/front/0/0/0015ef55-4b85-4147-9974-b3ff4a1487c3.jpg?1783931164
Nocturnal Raid,,0015fee8-068a-421e-9143-bcb575371f9a,mir,132,https://cards.scryfall.io/normal/front/0/0/0015fee8-068a-421e-9143-bcb575371f9a.jpg?1783947090
Temporal Manipulation,,0016ea50-4f77-4814-a505-8067ecb177cc,sld,1169,https://cards.scryfall.io/normal/front/0/0/0016ea50-4f77-4814-a505-8067ecb177cc.jpg?1783918567
The Convincing General,,0017051f-bb7d-4f78-b214-02d08a542400,unk,MZ05a,https://cards.scryfall.io/normal/front/0/0/0017051f-bb7d-4f78-b214-02d08a542400.jpg?1783909748
Archon of the Wild Rose,,00174be7-0dc8-43b9-81b6-f25a8c3fb4eb,woe,1,https://cards.scryfall.io/normal/front/0/0/00174be7-0dc8-43b9-81b6-f25a8c3fb4eb.jpg?1783915137
Vaevictis Asmadi,,00177fcf-92af-475a-a7f5-11ab645388a5,bchr,89,https://cards.scryfall.io/normal/front/0/0/00177fcf-92af-475a-a7f5-11ab645388a5.jpg?1783947400
Flensermite,,0017de60-ee1c-4675-b04e-cdfa2c2a596e,mbs,41,https://cards.scryfall.io/normal/front/0/0/0017de60-ee1c-4675-b04e-cdfa2c2a596e.jpg?1783941385
Triskelion,,0017e784-5f71-4f7a-aed5-2ceff2cac18b,plst,M11-218,https://cards.scryfall.io/normal/front/0/0/0017e784-5f71-4f7a-aed5-2ceff2cac18b.jpg?1783931239
Rite of the Raging Storm,,0018e4ea-8c46-4bb0-ade1-6b2a4f67c471,ncc,274,https://cards.scryfall.io/normal/front/0/0/0018e4ea-8c46-4bb0-ade1-6b2a4f67c471.jpg?1783923258
Lonely Sandbar,,001908da-70cc-4a53-9372-eb75c0721442,sld,2161,https://cards.scryfall.io/normal/front/0/0/001908da-70cc-4a53-9372-eb75c0721442.jpg?1783904681
"Gorion, Wise Mentor",,001c648a-db66-47f3-8fee-3658b9e76ac2,clb,276,https://cards.scryfall.io/normal/front/0/0/001c648a-db66-47f3-8fee-3658b9e76ac2.jpg?1783922694
Wolf,,001cc57e-f3fc-4790-a9e5-171b2e3e8739,tvow,11,https://cards.scryfall.io/normal/front/0/0/001cc57e-f3fc-4790-a9e5-171b2e3e8739.jpg?1783924696
Gate Smasher,,001e8222-8dea-4767-8c13-21fb7ba556d7,dtk,239,https://cards.scryfall.io/normal/front/0/0/001e8222-8dea-4767-8c13-21fb7ba556d7.jpg?1783938568
"Balamb Garden, SeeD Academy // Balamb Garden, Airborne","Balamb Garden, SeeD Academy",001e9f20-5b15-41cb-bf82-46172decc235,fin,272,https://cards.scryfall.io/normal/front/0/0/001e9f20-5b15-41cb-bf82-46172decc235.jpg?1783906558
"Balamb Garden, SeeD Academy // Balamb Garden, Airborne","Balamb Garden, Airborne",001e9f20-5b15-41cb-bf82-46172decc235,fin,272,https://cards.scryfall.io/normal/back/0/0/001e9f20-5b15-41cb-bf82-46172decc235.jpg?1783906558
Island,,001eb913-2afe-4d7d-89a1-7c35de92d702,fbb,297,https://cards.scryfall.io/normal/front/0/0/001eb913-2afe-4d7d-89a1-7c35de92d702.jpg?1783948096
Kemba's Outfitter,,001f2658-9631-4ae8-a83b-3e922e243481,yone,2,https://cards.scryfall.io/normal/front/0/0/001f2658-9631-4ae8-a83b-3e922e243481.jpg?1783917751
World Breaker,,0020a124-ba76-4d40-84e9-9803268d9f16,ogw,126,https://cards.scryfall.io/normal/front/0/0/0020a124-ba76-4d40-84e9-9803268d9f16.jpg?1783937903
Rogue Kavu,,0020bf27-8160-4aaa-a321-29c8f43d2624,9ed,213★,https://cards.scryfall.io/normal/front/0/0/0020bf27-8160-4aaa-a321-29c8f43d2624.jpg?1783943954
Ornery Tumblewagg,,0020c31b-002a-4121-bc61-2c2c16e9afc8,otj,171,https://cards.scryfall.io/normal/front/0/0/0020c31b-002a-4121-bc61-2c2c16e9afc8.jpg?1783911806
Harbinger of the Seas,,00212714-a410-4cbc-bf1c-f90d7d77378c,mh3,63,https://cards.scryfall.io/normal/front/0/0/00212714-a410-4cbc-bf1c-f90d7d77378c.jpg?1783911289
Mad Auntie,,00215182-51bd-4c7e-9675-179749a25a07,mma,90,https://cards.scryfall.io/normal/front/0/0/00215182-51bd-4c7e-9675-179749a25a07.jpg?1783939988
Coral Eel,,00223901-d462-41b0-9749-b093058f682f,9ed,S3,https://cards.scryfall.io/normal/front/0/0/00223901-d462-41b0-9749-b093058f682f.jpg?1783944123
"Scarlet Witch, Chaotic Avenger",,00242e12-a957-4cb2-9d26-e1124e614e72,msc,414,https://cards.scryfall.io/normal/front/0/0/00242e12-a957-4cb2-9d26-e1124e614e72.jpg?1783903141
Midnight Clock,,0024708a-7f59-4707-97d9-4c5397f7333c,m3c,189,https://cards.scryfall.io/normal/front/0/0/0024708a-7f59-4707-97d9-4c5397f7333c.jpg?1783911384
Invasion of Tolvada // The Broken Sky,Invasion of Tolvada,00255899-aaaf-46c6-8037-bd0e3c06250c,mom,241,https://cards.scryfall.io/normal/front/0/0/00255899-aaaf-46c6-8037-bd0e3c06250c.jpg?1783916950
Invasion of Tolvada // The Broken Sky,The Broken Sky,00255899-aaaf-46c6-8037-bd0e3c06250c,mom,241,https://cards.scryfall.io/normal/back/0/0/00255899-aaaf-46c6-8037-bd0e3c06250c.jpg?1783916950
The Great Juggernaut,,0026d249-079a-4ead-a502-401ec792fb88,unk,RR04b,https://cards.scryfall.io/normal/front/0/0/0026d249-079a-4ead-a502-401ec792fb88.jpg?1783911008
Lurking Nightstalker,,002715a3-b84f-40ba-8fa9-6b2854626f4d,p02,77,https://cards.scryfall.io/normal/front/0/0/002715a3-b84f-40ba-8fa9-6b2854626f4d.jpg?1783946472
Spark Spray,,0027e323-4f5a-412b-868d-6fb3a0c8050a,vma,188,https://cards.scryfall.io/normal/front/0/0/0027e323-4f5a-412b-868d-6fb3a0c8050a.jpg?1783939263
Remand,,0027e5ca-8046-40a0-bd73-79be55f28bff,ddm,26,https://cards.scryfall.io/normal/front/0/0/0027e5ca-8046-40a0-bd73-79be55f28bff.jpg?1783939492
Eumidian Hatchery,,00281944-a9d3-4294-8f63-34ad09e4c627,eoc,40,https://cards.scryfall.io/normal/front/0/0/00281944-a9d3-4294-8f63-34ad09e4c627.jpg?1783906054
"Lazav, Familiar Stranger",,00293326-3eb2-492c-b565-7abafa037d8c,otj,216,https://cards.scryfall.io/normal/front/0/0/00293326-3eb2-492c-b565-7abafa037d8c.jpg?1783911790
Plains,,00293ce4-3475-4064-8510-9e8c02faf3bf,cma,292,https://cards.scryfall.io/normal/front/0/0/00293ce4-3475-4064-8510-9e8c02faf3bf.jpg?1783936186
Plains,,00298672-079c-4c92-9916-0bc2893898d0,brb,128,https://cards.scryfall.io/normal/front/0/0/00298672-079c-4c92-9916-0bc2893898d0.jpg?1783945864
"Edric, Spymaster of Trest",,0029955b-32a5-4dd8-8a8c-5c80cdfd13aa,cns,187,https://cards.scryfall.io/normal/front/0/0/0029955b-32a5-4dd8-8a8c-5c80cdfd13aa.jpg?1783939339
Clearwater Pathway // Clearwater Pathway,Clearwater Pathway,002ad179-ddf4-4f48-9504-cfa02e11a52e,aznr,25,https://cards.scryfall.io/normal/front/0/0/002ad179-ddf4-4f48-9504-cfa02e11a52e.jpg?1783929566
Clearwater Pathway // Clearwater Pathway,Clearwater Pathway,002ad179-ddf4-4f48-9504-cfa02e11a52e,aznr,25,https://cards.scryfall.io/normal/back/0/0/002ad179-ddf4-4f48-9504-cfa02e11a52e.jpg?1783929566
Crossbow Infantry,,002b75fc-c4ba-40fa-9758-8a550e68043b,9ed,12★,https://cards.scryfall.io/normal/front/0/0/002b75fc-c4ba-40fa-9758-8a550e68043b.jpg?1783944114
Bubbling Beebles,,002cf7d8-3fc2-48eb-a727-a1ce5a049665,uds,29,https://cards.scryfall.io/normal/front/0/0/002cf7d8-3fc2-48eb-a727-a1ce5a049665.jpg?1783946080
Second Breakfast,,002f647a-25f8-461b-8617-52674f5d577c,ltr,29,https://cards.scryfall.io/normal/front/0/0/002f647a-25f8-461b-8617-52674f5d577c.jpg?1783916326
"Ulasht, the Hate Seed",,002fe870-eae5-42cc-a44c-32906f60719e,2x2,289,https://cards.scryfall.io/normal/front/0/0/002fe870-eae5-42cc-a44c-32906f60719e.jpg?1783921798
Unholy Strength,,0030407c-9aa0-49ad-b2d6-cde0adbd9d09,7ed,168,https://cards.scryfall.io/normal/front/0/0/0030407c-9aa0-49ad-b2d6-cde0adbd9d09.jpg?1783945479
Forest,,0031d026-9e9a-46f6-8204-1acfee8b8809,wc02,rl349,https://cards.scryfall.io/normal/front/0/0/0031d026-9e9a-46f6-8204-1acfee8b8809.jpg?1783944988
Consecrate // Consume,,00320106-ce51-46a9-b0f9-79b3baf4e505,rna,224,https://cards.scryfall.io/normal/front/0/0/00320106-ce51-46a9-b0f9-79b3baf4e505.jpg?1783933627
Thornwood Falls,,00323a16-8bfd-49af-b073-8f0b23a9d947,ema,246,https://cards.scryfall.io/normal/front/0/0/00323a16-8bfd-49af-b073-8f0b23a9d947.jpg?1783937536
Goblin Bowling Team,,00325992-ec1c-469a-8df0-ffb9a197d221,ugl,44,https://cards.scryfall.io/normal/front/0/0/00325992-ec1c-469a-8df0-ffb9a197d221.jpg?1783946426
Improvised Arsenal,,003265d9-b2fc-4916-afc8-53ed2d6aa053,tmt,92,https://cards.scryfall.io/normal/front/0/0/003265d9-b2fc-4916-afc8-53ed2d6aa053.jpg?1783904096
Elvish Aberration,,0032a2ab-a385-47e4-843b-1ac677032dc4,pal03,7,https://cards.scryfall.io/normal/front/0/0/0032a2ab-a385-47e4-843b-1ac677032dc4.jpg?1783944980
"Farid, Enterprising Salvager",,003367c7-6cb8-4451-8349-76ce5d21e367,brc,13,https://cards.scryfall.io/normal/front/0/0/003367c7-6cb8-4451-8349-76ce5d21e367.jpg?1783919718
Wings of Aesthir,,00341664-d848-44d2-ba06-21a6ae8e6788,me2,199,https://cards.scryfall.io/normal/front/0/0/00341664-d848-44d2-ba06-21a6ae8e6788.jpg?1783942597
Mwonvuli Beast Tracker,,0034d32c-cc82-48d7-a913-d58cc3d3afeb,m13,177,https://cards.scryfall.io/normal/front/0/0/0034d32c-cc82-48d7-a913-d58cc3d3afeb.jpg?1783940470
Return to Dust,,0034ed95-a296-44c1-a084-e03c57c1865f,khc,32,https://cards.scryfall.io/normal/front/0/0/0034ed95-a296-44c1-a084-e03c57c1865f.jpg?1783928330
Emberheart Challenger,,0035082e-bb86-4f95-be48-ffc87fe5286d,blb,133,https://cards.scryfall.io/normal/front/0/0/0035082e-bb86-4f95-be48-ffc87fe5286d.jpg?1783910821
Royal Assassin,,0035cade-d84c-4978-8c9f-560893f07c27,dmr,310,https://cards.scryfall.io/normal/front/0/0/0035cade-d84c-4978-8c9f-560893f07c27.jpg?1783918379
Shock,,00365412-41db-427c-9109-8f69c17c326d,aer,98,https://cards.scryfall.io/normal/front/0/0/00365412-41db-427c-9109-8f69c17c326d.jpg?1783936748
Eldrazi Temple,,00372c7a-2e83-4a26-9642-0d092dfcf861,sld,1154,https://cards.scryfall.io/normal/front/0/0/00372c7a-2e83-4a26-9642-0d092dfcf861.jpg?1783918767
Voyager Glidecar,,00379e1c-0026-4ffd-868c-003a21d2d45f,pdft,36p,https://cards.scryfall.io/normal/front/0/0/00379e1c-0026-4ffd-868c-003a21d2d45f.jpg?1783907665
Walk the Plank,,0038ac6a-318f-44fb-bb64-7ae172c4aca3,xln,130,https://cards.scryfall.io/normal/front/0/0/0038ac6a-318f-44fb-bb64-7ae172c4aca3.jpg?1783935751
Heated Argument,,0038d212-3d95-4f98-8c2e-7b2404d0ced7,sos,118,https://cards.scryfall.io/normal/front/0/0/0038d212-3d95-4f98-8c2e-7b2404d0ced7.jpg?1783903668
Sphinx's Revelation,,0038ea4d-d0a6-44a4-bee6-24c03313d2bc,mm3,187,https://cards.scryfall.io/normal/front/0/0/0038ea4d-d0a6-44a4-bee6-24c03313d2bc.jpg?1783936613
Mise,,0039b1f3-6bcd-4578-af5b-e13fb2036ef2,unh,38,https://cards.scryfall.io/normal/front/0/0/0039b1f3-6bcd-4578-af5b-e13fb2036ef2.jpg?1783944257
Kor Entanglers,,0039ead5-2afa-49d6-ae4a-45ae2118188a,bfz,36,https://cards.scryfall.io/normal/front/0/0/0039ead5-2afa-49d6-ae4a-45ae2118188a.jpg?1783938218
Tail Swipe,,003a01aa-ed73-4da9-86c2-e4ecf7633c5f,j25,721,https://cards.scryfall.io/normal/front/0/0/003a01aa-ed73-4da9-86c2-e4ecf7633c5f.jpg?1783908618
Briarbridge Patrol,,003b5fe1-4e9e-49ae-9af4-04eefb96398f,sir,187,https://cards.scryfall.io/normal/front/0/0/003b5fe1-4e9e-49ae-9af4-04eefb96398f.jpg?1783917583
The Restoration of Eiganjo // Architect of Restoration,The Restoration of Eiganjo,003b8c93-54d2-4f23-961e-a52d63d0a54b,prm,97897,https://cards.scryfall.io/normal/front/0/0/003b8c93-54d2-4f23-961e-a52d63d0a54b.jpg?1783921657
The Restoration of Eiganjo // Architect of Restoration,Architect of Restoration,003b8c93-54d2-4f23-961e-a52d63d0a54b,prm,97897,https://cards.scryfall.io/normal/back/0/0/003b8c93-54d2-4f23-961e-a52d63d0a54b.jpg?1783921657
Spread the Sickness,,003bc8f1-f282-491c-984d-1ce7ac027053,mm2,98,https://cards.scryfall.io/normal/front/0/0/003bc8f1-f282-491c-984d-1ce7ac027053.jpg?1783938409
"Izoni, Thousand-Eyed",,003c6e4d-16f4-4ce8-9df2-a59e736b52cd,gk1,50,https://cards.scryfall.io/normal/front/0/0/003c6e4d-16f4-4ce8-9df2-a59e736b52cd.jpg?1783934040
Oracle of the Alpha,,003cb181-7b1d-474a-ba26-84319791bc2b,ydmu,4,https://cards.scryfall.io/normal/front/0/0/003cb181-7b1d-474a-ba26-84319791bc2b.jpg?1783921003
"Alesha, Who Laughs at Fate",,003d05be-4cf2-43c6-a823-c2b9c6482d38,fdn,476,https://cards.scryfall.io/normal/front/0/0/003d05be-4cf2-43c6-a823-c2b9c6482d38.jpg?1783908974
Duelist's Heritage,,003db299-c62b-405e-9833-5ebaef9c8301,c16,1,https://cards.scryfall.io/normal/front/0/0/003db299-c62b-405e-9833-5ebaef9c8301.jpg?1783937091
"Lazav, Dimir Mastermind",,003dc436-a3af-4e65-b4f8-387155fbcb85,znc,92,https://cards.scryfall.io/normal/front/0/0/003dc436-a3af-4e65-b4f8-387155fbcb85.jpg?1783929458
Celestial Kirin,,003e99a0-2caa-407b-be40-92ec17836eb3,sok,3,https://cards.scryfall.io/normal/front/0/0/003e99a0-2caa-407b-be40-92ec17836eb3.jpg?1783944174
Courage in Crisis,,003feb09-600a-46ff-90a2-7606636d6c53,plst,WAR-158,https://cards.scryfall.io/normal/front/0/0/003feb09-600a-46ff-90a2-7606636d6c53.jpg?1783916121
Green Sun's Twilight,,00413c66-b7e6-47b2-809a-1d5c9eac1a9e,pone,169p,https://cards.scryfall.io/normal/front/0/0/00413c66-b7e6-47b2-809a-1d5c9eac1a9e.jpg?1783917823
Talisman of Curiosity,,00413cf3-bc14-4881-8feb-829f11af0fdd,m3c,309,https://cards.scryfall.io/normal/front/0/0/00413cf3-bc14-4881-8feb-829f11af0fdd.jpg?1783911343
"Snapdax, Apex of the Hunt",,004237f7-1099-4422-9ce9-6065a803e230,piko,209p,https://cards.scryfall.io/normal/front/0/0/004237f7-1099-4422-9ce9-6065a803e230.jpg?1783930900
Ornithopter,,00427d72-b140-45eb-b2ec-2ac2dab16966,5ed,393,https://cards.scryfall.io/normal/front/0/0/00427d72-b140-45eb-b2ec-2ac2dab16966.jpg?1783946875
"Kamahl, Pit Fighter",,00429670-c439-4bd5-bd64-3ac7d352c68e,p15a,2,https://cards.scryfall.io/normal/front/0/0/00429670-c439-4bd5-bd64-3ac7d352c68e.jpg?1783942771
Saheeli's Directive,,0042d67c-2466-4c20-816e-92e476e545cc,pz2,70675,https://cards.scryfall.io/normal/front/0/0/0042d67c-2466-4c20-816e-92e476e545cc.jpg?1783933947
"Armaggon, Future Shark",,00436b30-d342-4c1d-81af-8f305bf53c86,tmt,264,https://cards.scryfall.io/normal/front/0/0/00436b30-d342-4c1d-81af-8f305bf53c86.jpg?1783904036
Festering Goblin,,00444e40-7436-48c3-9cbb-e6d8b96c1a3a,9ed,130,https://cards.scryfall.io/normal/front/0/0/00444e40-7436-48c3-9cbb-e6d8b96c1a3a.jpg?1783944005
